iter	Passed	Remaining
0	5	2155
1	10	2010
2	14	1920
3	18	1839
4	22	1782
5	27	1762
6	31	1763
7	36	1752
8	40	1735
9	44	1727
10	49	1716
11	53	1704
12	57	1691
13	61	1675
14	65	1669
15	69	1658
16	74	1655
17	78	1643
18	82	1634
19	86	1625
20	90	1615
21	94	1605
22	98	1598
23	102	1592
24	106	1587
25	111	1582
26	116	1596
27	122	1603
28	126	1596
29	130	1588
30	135	1589
31	139	1588
32	144	1585
33	148	1579
34	153	1579
35	160	1606
36	170	1655
37	175	1649
38	179	1641
39	183	1635
40	187	1626
41	191	1617
42	196	1612
43	201	1608
44	222	1734
45	228	1739
46	233	1733
47	237	1723
48	242	1715
49	246	1704
50	250	1695
51	254	1683
52	258	1673
53	262	1664
54	266	1654
55	270	1645
56	274	1634
57	279	1626
58	283	1616
59	286	1607
60	290	1598
61	294	1588
62	298	1579
63	302	1570
64	306	1562
65	311	1555
66	315	1547
67	318	1538
68	323	1532
69	327	1524
70	331	1516
71	335	1508
72	339	1502
73	343	1494
74	347	1487
75	351	1480
76	355	1474
77	360	1468
78	364	1461
79	368	1454
80	372	1448
81	376	1441
82	381	1439
83	386	1437
84	391	1432
85	395	1425
86	399	1418
87	403	1413
88	407	1406
89	412	1401
90	416	1395
91	420	1389
92	424	1382
93	428	1377
94	432	1370
95	436	1365
96	440	1359
97	444	1352
98	448	1346
99	452	1340
100	456	1334
101	461	1330
102	465	1324
103	469	1318
104	473	1311
105	477	1307
106	482	1301
107	485	1295
108	489	1289
109	494	1286
110	498	1280
111	507	1286
112	514	1287
113	519	1284
114	524	1281
115	528	1276
116	533	1272
117	537	1267
118	541	1261
119	546	1256
120	550	1250
121	554	1245
122	565	1254
123	569	1249
124	573	1243
125	577	1237
126	581	1231
127	585	1225
128	589	1219
129	593	1213
130	596	1207
131	601	1202
132	605	1196
133	609	1190
134	612	1184
135	616	1179
136	620	1173
137	624	1168
138	629	1163
139	633	1157
140	637	1152
141	640	1146
142	645	1141
143	649	1136
144	653	1130
145	657	1125
146	661	1119
147	664	1114
148	668	1108
149	672	1103
150	676	1097
151	680	1092
152	684	1086
153	687	1081
154	691	1075
155	695	1070
156	699	1064
157	703	1059
158	707	1054
159	711	1049
160	715	1043
161	719	1038
162	723	1033
163	727	1028
164	731	1023
165	735	1018
166	739	1013
167	743	1009
168	747	1003
169	751	998
170	755	993
171	759	989
172	763	984
173	768	980
174	772	975
175	776	970
176	780	965
177	784	960
178	788	956
179	792	951
180	796	946
181	800	941
182	804	936
183	808	931
184	812	926
185	816	921
186	820	916
187	823	911
188	827	906
189	832	902
190	838	900
191	845	898
192	850	894
193	853	889
194	858	884
195	862	879
196	866	874
197	871	871
198	875	866
199	880	862
200	889	863
201	894	858
202	898	854
203	903	850
204	910	848
205	915	844
206	920	840
207	924	835
208	928	830
209	932	826
210	936	821
211	940	816
212	944	811
213	948	806
214	952	802
215	956	797
216	960	792
217	964	787
218	968	782
219	972	777
220	976	772
221	980	768
222	983	763
223	987	758
224	991	753
225	994	748
226	998	743
227	1002	738
228	1006	733
229	1009	728
230	1013	724
231	1018	719
232	1021	714
233	1025	710
234	1029	705
235	1033	700
236	1037	695
237	1040	690
238	1044	686
239	1048	681
240	1052	676
241	1056	672
242	1059	667
243	1063	662
244	1067	657
245	1071	653
246	1074	648
247	1078	643
248	1082	639
249	1086	634
250	1089	629
251	1093	624
252	1097	620
253	1100	615
254	1104	610
255	1108	606
256	1112	601
257	1116	597
258	1120	592
259	1124	587
260	1127	583
261	1131	578
262	1135	574
263	1139	569
264	1143	565
265	1146	560
266	1150	555
267	1154	551
268	1158	546
269	1162	542
270	1166	537
271	1170	533
272	1174	529
273	1183	526
274	1189	523
275	1193	518
276	1196	514
277	1200	509
278	1204	505
279	1209	500
280	1213	496
281	1218	492
282	1224	488
283	1230	485
284	1236	481
285	1240	476
286	1244	472
287	1249	468
288	1253	463
289	1257	459
290	1261	455
291	1266	450
292	1270	446
293	1274	442
294	1279	438
295	1283	433
296	1287	429
297	1292	425
298	1296	420
299	1301	416
300	1305	411
301	1309	407
302	1314	403
303	1318	398
304	1322	394
305	1327	390
306	1331	386
307	1335	381
308	1339	377
309	1343	372
310	1347	368
311	1352	364
312	1356	359
313	1361	355
314	1365	351
315	1369	346
316	1374	342
317	1379	338
318	1383	333
319	1387	329
320	1391	325
321	1395	320
322	1400	316
323	1404	312
324	1408	307
325	1412	303
326	1417	299
327	1422	294
328	1426	290
329	1430	286
330	1434	281
331	1438	277
332	1442	272
333	1446	268
334	1450	264
335	1454	259
336	1458	255
337	1462	250
338	1466	246
339	1470	242
340	1474	237
341	1477	233
342	1481	228
343	1485	224
344	1489	220
345	1493	215
346	1496	211
347	1500	207
348	1505	202
349	1511	198
350	1517	194
351	1523	190
352	1528	186
353	1532	181
354	1536	177
355	1540	173
356	1544	168
357	1548	164
358	1552	159
359	1555	155
360	1559	151
361	1563	146
362	1567	142
363	1571	138
364	1576	133
365	1582	129
366	1589	125
367	1592	121
368	1596	116
369	1600	112
370	1604	108
371	1608	103
372	1612	99
373	1616	95
374	1620	90
375	1623	86
376	1627	82
377	1631	77
378	1635	73
379	1639	69
380	1643	64
381	1647	60
382	1651	56
383	1654	51
384	1658	47
385	1662	43
386	1666	38
387	1669	34
388	1673	30
389	1677	25
390	1681	21
391	1685	17
392	1689	12
393	1693	8
394	1697	4
395	1700	0
