№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
1,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2005-11-20,110-130,120.0
2,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2005-11-20,110-130,120.0
3,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2005-11-20,110-130,120.0
4,Олёкминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2005-11-20,90-110,100.0
5,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2005-11-20,>130,130.0
6,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2005-11-20,90-110,100.0
7,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2005-11-20,110-130,120.0
8,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2005-11-20,110-130,120.0
9,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2005-11-20,70-90,80.0
10,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2005-11-20,110-130,120.0
11,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2005-11-20,110-130,120.0
12,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2005-11-20,70-90,80.0
13,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2005-11-20,70-90,80.0
14,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2005-11-20,70-90,80.0
15,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2005-11-20,110-130,120.0
16,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2005-11-20,90-110,100.0
17,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2005-11-20,70-90,80.0
18,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2005-11-20,70-90,80.0
19,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2005-11-20,,
20,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2005-11-20,70-90,80.0
21,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2005-11-20,70-90,80.0
22,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2005-11-20,,
23,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2005-11-20,110-130,120.0
24,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2005-11-20,90-110,100.0
25,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2005-11-20,90-110,100.0
26,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2005-11-20,90-110,100.0
27,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2009-11-20,70-90,80.0
28,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2009-11-20,70-90,80.0
29,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2009-11-20,<70,70.0
30,Олёкминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2009-11-20,90-110,100.0
31,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2009-11-20,110-130,120.0
32,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2009-11-20,70-90,80.0
33,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2009-11-20,<70,70.0
34,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2009-11-20,70-90,80.0
35,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2009-11-20,110-130,120.0
36,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2009-11-20,90-110,100.0
37,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2009-11-20,70-90,80.0
38,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2009-11-20,70-90,80.0
39,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2009-11-20,70-90,80.0
40,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2009-11-20,>130,130.0
41,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2009-11-20,>130,130.0
42,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2009-11-20,>130,130.0
43,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2009-11-20,>130,130.0
44,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2009-11-20,90-110,100.0
45,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2009-11-20,70-90,80.0
46,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2009-11-20,>130,130.0
47,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2009-11-20,90-110,100.0
48,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2009-11-20,<70,70.0
49,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2009-11-20,<70,70.0
50,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2009-11-20,<70,70.0
51,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2009-11-20,<70,70.0
52,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2009-11-20,<70,70.0
53,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2010-11-20,>130,130.0
54,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2010-11-20,>130,130.0
55,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2010-11-20,>130,130.0
56,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2010-11-20,70-90,80.0
57,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2010-11-20,>130,130.0
58,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2010-11-20,<70,70.0
59,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2010-11-20,90-110,100.0
60,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2010-11-20,>130,130.0
61,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2010-11-20,<70,70.0
62,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2010-11-20,<70,70.0
63,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2010-11-20,<70,70.0
64,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2010-11-20,<70,70.0
65,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2010-11-20,<70,70.0
66,Казачье,Яна,Усть-Янский муниципальный район,Казачье,98656405101,2010-11-20,70-90,80.0
67,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2010-11-20,70-90,80.0
68,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2010-11-20,70-90,80.0
69,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2010-11-20,<70,70.0
70,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2010-11-20,<70,70.0
71,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2010-11-20,<70,70.0
