№,Гидрометеорологический пост,Наименование реки,Наименование района,Наименование населенного пункта,ОКТМО,Геопозиция (широта),Геопозиция (долгота),Дата (дд.мм.ггг),"Толщина льда,см",Отклонение от нормы,Норма
1,Пеледуй,Лена,Ленский муниципальный район,поселок Пеледуй,98627157051,59.61511508,112.75662172,2000-02-28,105,22.0,83.0
2,Мача,Лена,Олекминский муниципальный район,Мачинский наслег,98641440101,59.9067205,117.58700121,2000-02-28,69,-20.0,89.0
3,Олекминск,Лена,Олекминский муниципальный район,город Олекминск,98641101001,60.36619014,120.43821085,2000-02-28,76,-20.0,96.0
4,Покровск,Лена,Хангаласский муниципальный район,город Покровск,98644101001,61.47698603,129.14082039,2000-02-28,111,-4.0,115.0
5,Табага,Лена,Городской округ Город Якутск,город Якутск,98701000116,61.81498518,129.66129768,2000-02-28,116,-17.0,133.0
6,Якутск,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.070852,129.81253136,2000-02-28,108,-5.0,113.0
7,Кангалассы,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.36529597,130.02281654,2000-02-28,105,-2.0,107.0
8,Сангары,Лена,Кобяйский муниципальный район,поселок Сангар,98624151051,63.92658251,127.46566284,2000-02-28,154,-5.0,159.0
9,Томмот,Алдан,Алданский муниципальный район,город Томмот,98603105001,58.97859165,126.26437653,2000-02-28,145,-4.0,149.0
10,Чаран,Алдан,Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,60.36592754,134.45725906,2000-02-28,88,6.0,82.0
11,Охотский Перевоз,Алдан,Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,61.87832364,135.52370537,2000-02-28,71,-1.0,72.0
12,Амга,Амга,Амгинский муниципальный район,Амгинский наслег,98608432101,60.89936631,132.01838005,2000-02-28,70,-22.0,92.0
13,Терють,Амга,Таттинский муниципальный район,Средне-Амгинский наслег,98604440101,62.20016481,134.25495613,2000-02-28,114,14.0,100.0
14,Нюрба,Вилюй,Нюрбинский муниципальный район,город Нюрба,98626101001,63.28064766,118.36700905,2000-02-28,74,-16.0,90.0
15,Вилюйск,Вилюй,Вилюйский муниципальный район,город Вилюйск,98618101001,63.75864148,121.61415566,2000-02-28,108,33.0,75.0
16,Верхоянск,Яна,Верхоянский муниципальный район,город Верхоянск,98616103001,67.53810232,133.37682236,2000-02-28,118,34.0,84.0
17,У-Чаркы,Адыча,Верхоянский муниципальный район,поселок Батагай,98616151111,66.79338267,136.67980183,2000-02-28,147,0.0,147.0
18,Усть-Нера,Индигирка,Оймяконский муниципальный район,поселок Усть-Нера,98639151051,64.57243583,143.22773922,2000-02-28,142,-6.0,148.0
19,Среднеколымск,Колыма,Среднеколымский муниципальный район,город Среднеколымск,98646101001,67.45682409,153.71599186,2000-02-28,90,-3.0,93.0
20,Пеледуй,Лена,Ленский муниципальный район,поселок Пеледуй,98627157051,59.61511508,112.75662172,2000-03-10,106,20.0,86.0
21,Мача,Лена,Олекминский муниципальный район,Мачинский наслег,98641440101,59.9067205,117.58700121,2000-03-10,68,-23.0,91.0
22,Олекминск,Лена,Олекминский муниципальный район,город Олекминск,98641101001,60.36619014,120.43821085,2000-03-10,80,-3.0,83.0
23,Покровск,Лена,Хангаласский муниципальный район,город Покровск,98644101001,61.47698603,129.14082039,2000-03-10,115,-8.0,123.0
24,Табага,Лена,Городской округ Город Якутск,город Якутск,98701000116,61.81498518,129.66129768,2000-03-10,123,-16.0,139.0
25,Якутск,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.070852,129.81253136,2000-03-10,113,-5.0,118.0
26,Кангалассы,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.36529597,130.02281654,2000-03-10,107,-1.0,108.0
27,Сангары,Лена,Кобяйский муниципальный район,поселок Сангар,98624151051,63.92658251,127.46566284,2000-03-10,150,-13.0,163.0
28,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,66.7708406,123.38145245,2000-03-10,153,-3.0,156.0
29,Томмот,Алдан,Алданский муниципальный район,город Томмот,98603105001,58.97859165,126.26437653,2000-03-10,89,9.0,80.0
30,Чаран ,Алдан,Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,60.36592754,134.45725906,2000-03-10,73,-4.0,77.0
31,Ох.Перевоз,Алдан,Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,61.87832364,135.52370537,2000-03-10,72,-21.0,93.0
32,Амга,Амга,Амгинский муниципальный район,Амгинский наслег,98608432101,60.89936631,132.01838005,2000-03-10,116,20.0,96.0
33,Терють,Амга,Таттинский муниципальный район,Средне-Амгинский наслег,98604440101,62.20016481,134.25495613,2000-03-10,110,26.0,84.0
34,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтарский наслег,98648455101,62.15670044,117.66212452,2000-03-10,76,-15.0,91.0
35,Нюрба,Вилюй,Нюрбинский муниципальный район,город Нюрба,98626101001,63.28064766,118.36700905,2000-03-10,77,-23.0,100.0
36,Вилюйск,Вилюй,Вилюйский муниципальный район,город Вилюйск,98618101001,63.75864148,121.61415566,2000-03-10,108,5.0,103.0
37,Верхоянск,Яна,Верхоянский муниципальный район,город Верхоянск,98616103001,67.53810232,133.37682236,2000-03-10,124,-2.0,126.0
38,Усть-Чаркы,Яна,Верхоянский муниципальный район,поселок Батагай,98616151111,66.79338267,136.67980183,2000-03-10,147,17.0,130.0
39,Усть-Нера,Индигирка,Оймяконский муниципальный район,поселок Усть-Нера,98639151051,64.57243583,143.22773922,2000-03-10,149,-28.0,177.0
40,Среднеколымск,Колыма,Среднеколымский муниципальный район,город Среднеколымск,98646101001,67.45682409,153.71599186,2000-03-10,92,-9.0,101.0
41,Пеледуй,Лена,Ленский муниципальный район,поселок Пеледуй,98627157051,59.61511508,112.75662172,2000-12-20,92,41.0,51.0
42,Мача,Лена,Олекминский муниципальный район,Мачинский наслег,98641440101,59.9067205,117.58700121,2000-12-20,88,30.0,58.0
43,Олекминск,Лена,Олекминский муниципальный район,город Олекминск,98641101001,60.36619014,120.43821085,2000-12-20,106,47.0,59.0
44,Покровск,Лена,Хангаласский муниципальный район,город Покровск,98644101001,61.47698603,129.14082039,2000-12-20,145,77.0,68.0
45,Табага,Лена,Городской округ Город Якутск,город Якутск,98701000116,61.81498518,129.66129768,2000-12-20,130,58.0,72.0
46,Якутск,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.070852,129.81253136,2000-12-20,121,56.0,65.0
47,Кангалассы,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.36529597,130.02281654,2000-12-20,116,52.0,64.0
48,Сангары,Лена,Кобяйский муниципальный район,поселок Сангар,98624151051,63.92658251,127.46566284,2000-12-20,152,56.0,96.0
49,Томмот,Алдан,Алданский муниципальный район,город Томмот,98603105001,58.97859165,126.26437653,2000-12-20,96,46.0,50.0
50,Чаран,Алдан,Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,60.36592754,134.45725906,2000-12-20,78,33.0,45.0
51,Охотский Перевоз,Алдан,Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,61.87832364,135.52370537,2000-12-20,115,63.0,52.0
52,Амга,Амга,Амгинский муниципальный район,Амгинский наслег,98608432101,60.89936631,132.01838005,2000-12-20,137,71.0,66.0
53,Терють,Амга,Таттинский муниципальный район,Средне-Амгинский наслег,98604440101,62.20016481,134.25495613,2000-12-20,126,71.0,55.0
54,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтарский наслег,98648455101,62.15762295,117.67023552,2000-12-20,84,31.0,53.0
55,Нюрба,Вилюй,Нюрбинский муниципальный район,город Нюрба,98626101001,63.28064766,118.36700905,2000-12-20,115,58.0,57.0
56,Вилюйск,Вилюй,Вилюйский муниципальный район,город Вилюйск,98618101001,63.75864148,121.61415566,2000-12-20,115,60.0,55.0
57,Верхоянск,Яна,Верхоянский муниципальный район,город Верхоянск,98616103001,67.53810232,133.37682236,2000-12-20,87,11.0,76.0
58,У-Чаркы,Адыча,Верхоянский муниципальный район,поселок Батагай,98616151111,66.79338267,136.67980183,2000-12-20,113,18.0,95.0
59,Усть-Нера,Индигирка,Оймяконский муниципальный район,поселок Усть-Нера,98639151051,64.57243583,143.22773922,2000-12-20,140,47.0,93.0
60,Среднеколымск,Колыма,Среднеколымский муниципальный район,город Среднеколымск,98646101001,67.45682409,153.71599186,2000-12-20,73,23.0,50.0
61,Пеледуй,Лена,Ленский муниципальный район,поселок Пеледуй,98627157051,59.61511508,112.75662172,2001-02-28,94,11.0,83.0
62,Мача,Лена,Олекминский муниципальный район,Мачинский наслег,98641440101,59.9067205,117.58700121,2001-02-28,91,2.0,89.0
63,Олекминск,Лена,Олекминский муниципальный район,город Олекминск,98641101001,60.36619014,120.43821085,2001-02-28,115,19.0,96.0
64,Покровск,Лена,Хангаласский муниципальный район,город Покровск,98644101001,61.47698603,129.14082039,2001-02-28,158,43.0,115.0
65,Табага,Лена,Городской округ Город Якутск,город Якутск,98701000116,61.81498518,129.66129768,2001-02-28,138,5.0,133.0
66,Якутск,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.070852,129.81253136,2001-02-28,126,13.0,113.0
67,Кангалассы,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.36529597,130.02281654,2001-02-28,123,16.0,107.0
68,Сангары,Лена,Кобяйский муниципальный район,поселок Сангар,98624151051,63.92658251,127.46566284,2001-02-28,157,-2.0,159.0
69,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,66.7713828,123.38089455,2001-02-28,155,6.0,149.0
70,Томмот,Алдан,Алданский муниципальный район,город Томмот,98603105001,58.97859165,126.26437653,2001-02-28,97,15.0,82.0
71,Чаран ,Алдан,Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,60.36592754,134.45725906,2001-02-28,72,0.0,72.0
72,Ох.Перевоз,Алдан,Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,61.87832364,135.52370537,2001-02-28,127,35.0,92.0
73,Амга,Амга,Амгинский муниципальный район,Амгинский наслег,98608432101,60.89936631,132.01838005,2001-02-28,140,40.0,100.0
74,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтарский наслег,98648455101,62.15605809,117.6589917,2001-02-28,92,11.0,81.0
75,Нюрба,Вилюй,Нюрбинский муниципальный район,город Нюрба,98626101001,63.28064766,118.36700905,2001-02-28,117,27.0,90.0
76,Верхневилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,63.45076961,120.32008637,2001-02-28,120,45.0,75.0
77,Вилюйск,Вилюй,Вилюйский муниципальный район,город Вилюйск,98618101001,63.75864148,121.61415566,2001-02-28,98,14.0,84.0
78,Усть-Чаркы,Яна,Верхоянский муниципальный район,поселок Батагай,98616151111,66.79338267,136.67980183,2001-02-28,140,-7.0,147.0
79,Усть-Нера,Индигирка,Оймяконский муниципальный район,поселок Усть-Нера,98639151051,64.57243583,143.22773922,2001-02-28,180,32.0,148.0
80,Среднеколымск,Колыма,Среднеколымский муниципальный район,город Среднеколымск,98646101001,67.45682409,153.71599186,2001-02-28,74,-19.0,93.0
81,Пеледуй,Лена,Ленский муниципальный район,поселок Пеледуй,98627157051,59.61511508,112.75662172,2001-03-10,98,12.0,86.0
82,Мача,Лена,Олекминский муниципальный район,Мачинский наслег,98641440101,59.9067205,117.58700121,2001-03-10,92,1.0,91.0
83,Олекминск,Лена,Олекминский муниципальный район,город Олекминск,98641101001,60.36619014,120.43821085,2001-03-10,116,33.0,83.0
84,Покровск,Лена,Хангаласский муниципальный район,город Покровск,98644101001,61.47698603,129.14082039,2001-03-10,164,41.0,123.0
85,Табага,Лена,Городской округ Город Якутск,город Якутск,98701000116,61.81498518,129.66129768,2001-03-10,140,1.0,139.0
86,Якутск,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.070852,129.81253136,2001-03-10,129,11.0,118.0
87,Кангалассы,Лена,Городской округ Город Якутск,город Якутск,98701000001,62.36529597,130.02281654,2001-03-10,138,30.0,108.0
88,Сангары,Лена,Кобяйский муниципальный район,поселок Сангар,98624151051,63.92658251,127.46566284,2001-03-10,156,-7.0,163.0
89,Томмот,Алдан,Алданский муниципальный район,город Томмот,98603105001,58.97859165,126.26437653,2001-03-10,97,17.0,80.0
90,Чаран ,Алдан,Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,60.36592754,134.45725906,2001-03-10,74,-3.0,77.0
91,Ох.Перевоз,Алдан,Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,61.87832364,135.52370537,2001-03-10,130,37.0,93.0
92,Амга,Амга,Амгинский муниципальный район,Амгинский наслег,98608432101,60.89936631,132.01838005,2001-03-10,143,47.0,96.0
93,Терють,Амга,Таттинский муниципальный район,Средне-Амгинский наслег,98604440101,62.20016481,134.25495613,2001-03-10,140,56.0,84.0
94,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтарский наслег,98648455101,62.15605809,117.6589917,2001-03-10,94,3.0,91.0
95,Нюрба,Вилюй,Нюрбинский муниципальный район,город Нюрба,98626101001,63.28064766,118.36700905,2001-03-10,117,17.0,100.0
96,Вилюйск,Вилюй,Вилюйский муниципальный район,город Вилюйск,98618101001,63.75864148,121.61415566,2001-03-10,123,20.0,103.0
97,Верхоянск,Яна,Верхоянский муниципальный район,город Верхоянск,98616103001,67.53810232,133.37682236,2001-03-10,106,-20.0,126.0
98,Усть-Чаркы,Яна,Верхоянский муниципальный район,поселок Батагай,98616151111,66.79338267,136.67980183,2001-03-10,144,14.0,130.0
99,Усть-Нера,Индигирка,Оймяконский муниципальный район,поселок Усть-Нера,98639151051,64.57243583,143.22773922,2001-03-10,181,4.0,177.0
100,Среднеколымск,Колыма,Среднеколымский муниципальный район,город Среднеколымск,98646101001,67.45682409,153.71599186,2001-03-10,77,-24.0,101.0
101,Витим,Лена,Ленский муниципальный район,поселок Витим,98627153051,59.44912739,112.57888783,2001-12-20,53,17.0,36.0
102,Пеледуй,Лена,Ленский муниципальный район,поселок Пеледуй,98627157051,59.61511508,112.75662172,2001-12-20,64,13.0,51.0
103,Крестовский,Лена,Ленский муниципальный район,поселок Пеледуй,98627157106,59.77224366,113.2727002,2001-12-20,58,8.0,50.0
104,Ленск,Лена,Ленский муниципальный район,город Ленск,98627101001,60.71465934,114.93343819,2001-12-20,80,12.0,68.0
