Район,Наслег,ОКТМО,Период,Река,Населенный пункт,Год затопления,Unnamed: 7,"Кол-во ошибок ""#н/д""",0
Ленский муниципальный район,поселок Витим,98627153051,Весеннее половодье,Лена,Витим,2006,,"Кол-во ""не н.п.""",1.0
Ленский муниципальный район,город Ленск,98627101001,Весеннее половодье,Лена,Ленск,2001,,,
Олекминский муниципальный район,Кыллахский наслег,98641430101,Весеннее половодье,Лена,Кыллах,2006,,,
Олекминский муниципальный район,Кыллахский наслег,98641430101,Весеннее половодье,Лена,Кыллах,2011,,,
Олекминский муниципальный район,Кыллахский наслег,98641430101,Весеннее половодье,Лена,Кыллах,2024,,,
Олекминский муниципальный район,Троицкий наслег,98641470101,Весеннее половодье,Лена,Троицк,2011,,,
Олекминский муниципальный район,Троицкий наслег,98641470101,Весеннее половодье,Лена,Троицк,2024,,,
Олекминский муниципальный район,Солянский наслег,98641465101,Весеннее половодье,Лена,Солянка,2011,,,
Амгинский муниципальный район,Абагинский наслег,98608405101,Весеннее половодье,Лена,Абага,2006,,,
Амгинский муниципальный район,Абагинский наслег,98608405101,Весеннее половодье,Лена,Абага,2011,,,
Олекминский муниципальный район,город Олекминск,98641101001,Весеннее половодье,Лена,Олёкминск,2001,,,
Олекминский муниципальный район,город Олекминск,98641101001,Весеннее половодье,Лена,Олёкминск,2006,,,
Олекминский муниципальный район,город Олекминск,98641101001,Весеннее половодье,Лена,Олёкминск,2011,,,
Олекминский муниципальный район,Хоринский наслег,98641485101,Весеннее половодье,Лена,Хоринцы,2011,,,
Олекминский муниципальный район,Хоринский наслег,98641485101,Весеннее половодье,Лена,Хоринцы,2013,,,
Олекминский муниципальный район,Хоринский наслег,98641485101,Весеннее половодье,Лена,Хоринцы,2022,,,
Олекминский муниципальный район,Хоринский наслег,98641485101,Весеннее половодье,Лена,Хоринцы,2024,,,
Верхневилюйский муниципальный район,Балаганнахский наслег,98614402101,Весеннее половодье,Лена,Балаганнах,2024,,,
Олекминский муниципальный район,Нерюктяйинский 1-й наслег,98641445101,Весеннее половодье,Лена,Нерюктяйинск 1-й,2011,,,
Олекминский муниципальный район,Нерюктяйинский 1-й наслег,98641445101,Весеннее половодье,Лена,Нерюктяйинск 1-й,2012,,,
Олекминский муниципальный район,Нерюктяйинский 1-й наслег,98641445101,Весеннее половодье,Лена,Нерюктяйинск 1-й,2024,,,
Олекминский муниципальный район,Нерюктяйинский 1-й наслег,98641445101,Весеннее половодье,Лена,Нерюктяйинск 1-й,2013,,,
Олекминский муниципальный район,Нерюктяйинский 1-й наслег,98641445101,Весеннее половодье,Лена,Нерюктяйинск 1-й,2024,,,
Олекминский муниципальный район,Нерюктяйинский 1-й наслег,98641445106,Весеннее половодье,Лена,Бирюк,2024,,,
Олекминский муниципальный район,Дельгейский наслег,98641415101,Весеннее половодье,Лена,Дельгей,2012,,,
Олекминский муниципальный район,Дельгейский наслег,98641415101,Весеннее половодье,Лена,Дельгей,2013,,,
Олекминский муниципальный район,Дельгейский наслег,98641415101,Весеннее половодье,Лена,Дельгей,2024,,,
Олекминский муниципальный район,Дельгейский наслег,98641415106,Весеннее половодье,Лена,Иннях,2012,,,
Олекминский муниципальный район,Дельгейский наслег,98641415106,Весеннее половодье,Лена,Иннях,2024,,,
Хангаласский муниципальный район,Мальжагарский 5-й наслег,98644428101,Весеннее половодье,Лена,Кытыл-Дюра,2009,,,
Хангаласский муниципальный район,Мальжагарский 5-й наслег,98644428101,Весеннее половодье,Лена,Кытыл-Дюра,2010,,,
Хангаласский муниципальный район,Мальжагарский 5-й наслег,98644428101,Весеннее половодье,Лена,Кытыл-Дюра,2018,,,
Хангаласский муниципальный район,Мальжагарский 5-й наслег,98644428101,Весеннее половодье,Лена,Кытыл-Дюра,2020,,,
Хангаласский муниципальный район,Мальжагарский 5-й наслег,98644428101,Весеннее половодье,Лена,Кытыл-Дюра,2023,,,
Аллаиховский муниципальный район,Береляхский наслег,98606424101,Весеннее половодье,Лена,Чкалов,2010,,,
Аллаиховский муниципальный район,Береляхский наслег,98606424101,Весеннее половодье,Лена,Чкалов,2018,,,
Хангаласский муниципальный район,Иситский наслег,98644412101,Весеннее половодье,Лена,Исит,2010,,,
Хангаласский муниципальный район,Мальжагарский 1-й наслег,98644423106,Весеннее половодье,Лена,Тойон-Ары,2006,,,
Хангаласский муниципальный район,Мальжагарский 1-й наслег,98644423106,Весеннее половодье,Лена,Тойон-Ары,2010,,,
Хангаласский муниципальный район,город Покровск,98644101001,Весеннее половодье,Лена,Покровск,2010,,,
Хангаласский муниципальный район,Немюгюнский наслег,98644435101,Весеннее половодье,Лена,Ой,2010,,,
Хангаласский муниципальный район,Жемконский 1-й наслег,98644406106,Весеннее половодье,Лена,Хоточчу,2010,,,
Хангаласский муниципальный район,Жемконский 1-й наслег,98644406106,Весеннее половодье,Лена,Хоточчу,2018,,,
