п/п,Район,Наслег,Населенный пункт,ОКТМО,Река,ГМС,Крит уровень ОЯ,Низкий уровень ОЯ,Геопозиция (широта),Геопозиция (долгота)
1,Усть-Кутский муниципальный район,Усть-Кутское,Усть-Кут,25644101001,Лена,Усть-Кут,700,0,56.77882594,105.75483468
2,Киренский муниципальный район,Киренское,Змеиново,25620101141,Лена,Змеиново,680,0,57.77760406,108.30443072
3,Киренский муниципальный район,"Межселенные территории Киренского муниципального района, на территории которых расположены земли следующих населенных пунктов: с Улькан, с Красноярово, п Визирный",Визирный,25620701912,Лена,Визирный,0,0,58.89353946,111.25585574
4,Киренский муниципальный район,Коршуновское,Дарьина,25620419104,Лена,Дарьино,0,0,58.31796401,109.65694141
5,Ленский муниципальный район,поселок Витим,Витим,98627153051,Лена,Витим,950,30,59.44912739,112.57888783
6,Ленский муниципальный район,поселок Пеледуй,Пеледуй,98627157051,Лена,Пеледуй,1200,175,59.61511508,112.75662172
7,Ленский муниципальный район,поселок Пеледуй,Крестовский лесоучасток,98627157106,Лена,Крестовский,1760,0,59.77224366,113.2727002
8,Ленский муниципальный район,Ярославский наслег,Хамра,98627449106,Лена,с. Хамра,900,0,60.21646247,114.11195352
9,Ленский муниципальный район,город Ленск,Ленск,98627101001,Лена,Ленск,1760,75,60.71465934,114.93343819
10,Ленский муниципальный район,Салдыкельский наслег,Мурья,98627436101,Лена,с. Мурья,920,0,60.73081094,115.29092385
11,Ленский муниципальный район,Салдыкельский наслег,Батамай,98627436106,Лена,с. Батамай,1100,0,60.75354726,115.60866906
12,Ленский муниципальный район,Нюйский наслег,Нюя,98627430101,Лена,Нюя,1300,0,60.53188422,116.20424736
13,Ленский муниципальный район,Нюйский наслег,Турукта,98627430106,Лена,с. Турукта,850,0,60.47813365,116.52800671
14,Олекминский муниципальный район,Мачинский наслег,Мача,98641440101,Лена,Мача,1290,60,59.9067205,117.58700121
15,Олекминский муниципальный район,Дельгейский наслег,Дельгей,98641415101,Лена,с. Дельгей,1000,0,59.90350415,118.61060254
16,Олекминский муниципальный район,Дабанский наслег,Дабан,98641410101,Лена,с. Дабан,1000,0,60.12123084,119.21322639
17,Олекминский муниципальный район,Нерюктяйинский 1-й наслег,Нерюктяйинск 1-й,98641445101,Лена,с. 1-Нерюктяйинск,1000,0,60.25418098,119.67383281
18,Олекминский муниципальный район,Кыллахский наслег,Кыллах,98641430101,Лена,с. Кыллах,1000,0,60.20610967,119.92823497
19,Олекминский муниципальный район,город Олекминск,Олёкминск,98641101001,Лена,Олёкминск,1060,60,60.36619014,120.43821085
20,Олекминский муниципальный район,Солянский наслег,Солянка,98641465101,Лена,Солянка,1445,0,60.4700783,120.72563637
21,Олекминский муниципальный район,Хоринский наслег,Хоринцы,98641485101,Лена,с. Хоринцы,1000,0,60.65962653,121.44162793
22,Олекминский муниципальный район,Урицкий наслег,Хатынг-Тумул,98641480106,Лена,Хатынг-Тумул,1113,40,60.58694456,122.89453889
23,Олекминский муниципальный район,Саныяхтахский наслег,Саныяхтах,98641460101,Лена,Саныяхтах,1340,190,60.58428413,124.0735482
24,Хангаласский муниципальный район,Мальжагарский 5-й наслег,Кытыл-Дюра,98644428101,Лена,с. Кытыл-Дюра,1631,0,60.96628773,125.92633439
25,Хангаласский муниципальный район,Мальжагарский 4-й наслег,Едей,98644427101,Лена,с. Едей,0,0,61.10395249,126.37368393
26,Хангаласский муниципальный район,Синский наслег,Синск,98644445101,Лена,с. Синск,814,0,61.12717011,126.83373642
27,Хангаласский муниципальный район,Тит-Арынский наслег,Чкалов,98644450111,Лена,с. Чкалов,386,0,61.18606402,127.75759013
