Схемы зачернений (проведение предупредительных противопаводковых мероприятий по ослаблению прочности льда на затороопасных участках рек),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
№,Наименование защищаемого населенного пункта,Дата (дд.мм.гггг),Наименование реки,Наименование района,Наименование населенного пункта,ОКТМО,Количество полос,"Ширина, м","Протяженность, м","Площадь, м2","Объем зачерняющего материала, м3","Глубина протаивания льда, см",Геопозиция (широта),Геопозиция (долгота),Местность,Ответственный
1,Чагда,,Алдан,Алданский муниципальный район,Чагда,98603460101,2,20,1000,40000,80,,58.72149334,130.61732873,выше н.п. Чагда,ЛБВУ ФАВР
2,Чагда,,Алдан,Алданский муниципальный район,Чагда,98603460101,2,20,1000,40000,80,,58.78355898,130.60016259,у о. Первомайский,ЛБВУ ФАВР
3,Белькачи,,Алдан,Усть-Майский муниципальный район,Белькачи,98654405101,2,20,2000,80000,160,,59.14552075,131.93019208,у о. Бур-Ары,ЛБВУ ФАВР
4,Белькачи,,Алдан,Усть-Майский муниципальный район,Белькачи,98654405101,2,20,1000,40000,80,,59.14481644,132.07095441,в 12км ниже н.п. Белькачи,ЛБВУ ФАВР
5,Эжанцы,,Алдан,Усть-Майский муниципальный район,Эжанцы,98654425101,2,20,2000,80000,160,,60.50585294,135.10204457,ниже н.п. Эжанцы,ЛБВУ ФАВР
6,Кюпцы,,Алдан,Усть-Майский муниципальный район,Кюпцы,98654410101,2,20,2200,88000,176,,60.89963345,135.35176073,у о. Тит-Ары,ЛБВУ ФАВР
7,Кюпцы,,Алдан,Усть-Майский муниципальный район,Кюпцы,98654410101,2,20,1000,40000,80,,61.00061654,135.43085347,у пер. Ноторские острова,ЛБВУ ФАВР
8,Кюпцы,,Алдан,Усть-Майский муниципальный район,Кюпцы,98654410101,2,20,1500,60000,120,,61.09484956,135.50089132,у о. Улахан Отоннуур,ЛБВУ ФАВР
9,Кюпцы,,Алдан,Усть-Майский муниципальный район,Кюпцы,98654410101,2,20,1500,60000,120,,61.32250202,135.49728129,уч. Сымнар,ЛБВУ ФАВР
10,Хандыга,,Алдан,Томпонский муниципальный район,Хандыга,98650151051,2,20,1000,40000,40,,62.59919178,135.27743823,у о. Арга (перекат Собачий),ЛБВУ ФАВР
11,Хандыга,,Алдан,Томпонский муниципальный район,Хандыга,98650151051,2,20,1000,40000,40,,62.58243892,135.21014697,у о. Арга (перекат Собачий),ЛБВУ ФАВР
12,Кескил,,Алдан,Томпонский муниципальный район,Кескил,98650430101,2,20,1500,60000,60,,62.68549287,134.72297199,у о. Маган,ЛБВУ ФАВР
13,Кескил,,Алдан,Томпонский муниципальный район,Кескил,98650430101,2,20,1000,40000,40,,62.65286368,134.78648670,у о. Туога,ЛБВУ ФАВР
14,Хара-Алдан,,Алдан,Таттинский муниципальный район,Хара-Алдан,98604465101,2,20,2000,80000,80,,63.34089060,133.26350696,в 8 км. ниже с. Хара-Алдан,ЛБВУ ФАВР
15,Сыгыннах,,Алдан,Намский муниципальный район,Сыгыннах,98635405101,2,20,2000,80000,160,,63.45301846,129.57625695,у о. Ходжох,ЛБВУ ФАВР
16,Сыгыннах,,Алдан,Намский муниципальный район,Сыгыннах,98635405101,2,20,2000,80000,160,,63.41831961,129.71616098,у о. Сис-Кумах,ЛБВУ ФАВР
17,Сыгыннах,,Алдан,Намский муниципальный район,Сыгыннах,98635405101,2,20,2000,80000,160,,63.41463231,129.98343774,у о. Ого-Унуохтаах,ЛБВУ ФАВР
