Unnamed: 0,* Служба спасения РС(Я),Лист №,Станций,Годы,Данные,Примечания,Unnamed: 7
1.0,"Средняя температура, С",Метеоданные,21.0,30,314110.0,с 1 янв 1985 по 31 янв 2024 (средняя),
2.0,"Скорость и направление ветра, м/с",нет данных,,,,,
3.0,"Средняя температура точки росы со 104 метеостанций, С",нет данных,,,,,
4.0,"Ежедневная температура с 1985 года со 174 гидропостов (40 лет), С (мин и макс)",Метеоданные,21.0,30,314110.0,с 1 янв 1985 по 31 янв 2024 (мин и макс),
5.0,"Количество осадков, в мм",Метеоданные,21.0,30,314110.0,с 1 янв 1985 по 31 янв 2024,
6.0,"Данные о толщине льда с 2007 года (18 лет), см",Толщина_льда,35.0,26,663.0,с 2000 по 2025,
7.0,"Уровень воды с 2014 года (11 лет), см (отдельный файл)",Уровни_воды,118.0,12,204471.0,"с 2014 по 2025, с 300000 удалено пустых",
8.0,Данные о снегозапасах (в % от нормы),Снегозапасы,87.0,15,4107.0,"в % от нормы, с 2009 - 30.03 полный (нет 2014), остальные - не полные",
9.0,Реестр ЧС (по пострадавшим мало информации),Реестр_ЧС,,25,734.0,с 2001 по 2025,
9.1,Анализ ЧС (2 ошибки),Анализ_ЧС,,,,,
10.0,"Оперативные данные по подтопленным домам (мало данных, почти нет)",Реестр_затопленных домов,,6,188.0,с 2020 по 2025 ,Данные могут быть в *Исполнительная дирекция по паводку 
11.0,"Перечень населённых пунктов на территории Республики Саха (Якутия), подверженных затоплению вследствие гидрологических и гидродинамических явлений и процессов",Реестр_затопленных_НП,173.0,24,440.0,,
,,,,Всего,1152933.0,,
12.0,Зачернение рек (совместно с Ленрегионводхоз) (в процессе),Зачернение,,,,,
13.0,Реестр_подверженных_НП (в процессе),Перечень_НП,,,,,
,,,,,,,
,Справочники,,,,,,
,ГМС - гидрометестанций (добавлены ближайшие ОКТМПО НП),,,,,,
,ОКТМО (в процессе - количество населения),,,,,,
,Матрицы,,,,,,
,"Координаты ОКТМО (есть ошибки повторов НП, 8 значные номера, список исправлений в ""ОКТМО"")",,,,,,
,,,,,,,
,* ЛБВУ,,,,,,
12.0,Зачернение рек (совместно с Ленрегионводхоз),,,,,,
13.0,Работы водохранилищ,,,,,,
,,,,,,,
,"*Исполнительная дирекция по паводку, Минсельхоз, Упрмелиоводхоз",,,,,,
14.0,"Данные по инфраструктуре ГТС, дамбам и водохранилищам ",,,,,,
15.0,"Оперативные данные по регулированию уровня водохранилища, ГТС",,,,,,
,,,,,,,
,* Минтранс РС(Я) ?,,,,,,
16.0,"Реестр поврежденных дорог по причине паводка (муниципальная, региональная, федеральная)",,,,,,
