oktmo,region,municipality,settlement,type,Геоточка,latitude_dms,longitude_dms,latitude_dd,longitude_dd
98601404101,Республика Саха (Якутия),Абыйский,Абый,с,"[68.3936111111111,145.068888888889]",68.23.37,145.04.08,68.3936111111111,145.068888888889
98601151051,Республика Саха (Якутия),Абыйский,Белая Гора,пгт,"[68.5375,146.193333333333]",68.32.15,146.11.36,68.5375,146.193333333333
98601404106,Республика Саха (Якутия),Абыйский,Деску,с,"[68.37,144.525]",68.22.12,144.31.30,68.37,144.525
98601422101,Республика Саха (Якутия),Абыйский,Кенг-Кюель,с,"[68.0761111111111,145.995277777778]",68.04.34,145.59.43,68.0761111111111,145.995277777778
98601409101,Республика Саха (Якутия),Абыйский,Куберганя,с,"[67.7702777777778,144.4875]",67.46.13,144.29.15,67.7702777777778,144.4875
98601433101,Республика Саха (Якутия),Абыйский,Сутуруоха,с,"[68.5527777777778,146.162222222222]",68.33.10,146.09.44,68.5527777777778,146.162222222222
98601417101,Республика Саха (Якутия),Абыйский,Сыаганнах,с,"[68.3708333333333,143.633055555556]",68.22.15,143.37.59,68.3708333333333,143.633055555556
98603101001,Республика Саха (Якутия),Алданский,Алдан,г,"[58.6030555555556,125.384444444444]",58.36.11,125.23.04,58.6030555555556,125.384444444444
98603105056,Республика Саха (Якутия),Алданский,Безымянный,п,"[58.7436111111111,126.387222222222]",58.44.37,126.23.14,58.7436111111111,126.387222222222
98603101056,Республика Саха (Якутия),Алданский,Большой Нимныр,п,"[58.0416666666667,125.482777777778]",58.02.30,125.28.58,58.0416666666667,125.482777777778
98603170106,Республика Саха (Якутия),Алданский,Верхний Куранах,с,"[58.755,125.483333333333]",58.45.18,125.29.00,58.755,125.483333333333
98603105111,Республика Саха (Якутия),Алданский,Верхняя Амга,с,"[59.6488888888889,127.116111111111]",59.38.56,127.06.58,59.6488888888889,127.116111111111
98603404101,Республика Саха (Якутия),Алданский,Кутана,с,"[59.015,131.744444444444]",59.00.54,131.44.40,59.015,131.744444444444
98603161056,Республика Саха (Якутия),Алданский,Лебединый,п,"[58.4922222222222,125.501388888889]",58.29.32,125.30.05,58.4922222222222,125.501388888889
