Сокращения населенных пунктов,Unnamed: 1,Unnamed: 2,Измененный н.п.,Unnamed: 4,Снегозапасы,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Толщина льда,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Реестр затопленных населенных пунктов,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Метеоданные,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,ГМС,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
1.0,г,город,"формула не работает, не РС(Я)",,Бассейн рек,Изменен,ОКТМО из ОКТМО,Из ОКТМО,Наслег из ОКТМО,,,Бассейн рек,Оригинал,ОКТМО из ОКТМО,Населенный пункт,Из ОКТМО,Наслег из ОКТМО,Примечания,,,Река,Оригинал,Изменен,ОКТМО из ОКТМО,Из ОКТМО,Наслег (для проверки),Район (для проверки),,,№,Индексы,Населенный пункт,Изменен,ОКТМО,,п/п,Река,ГМС,измененный н.п.,ОКТМО,Район (проверка),Наслег (проверка)
2.0,п,поселок,,1.0,Лена,Якутск,98701000001,Якутск,Городской округ Город Якутск,,1.0,Лена,Витим ,98627153051,Витим,Витим,поселок Витим,удален пробел,,1.0,Лена,Витим,Витим,98627153051,Витим,поселок Витим,Ленский муниципальный район,,,1,21824,Тикси,Тикси,98612151051,,1,Лена,Усть-Кут,Усть-Кут,25644101001,Усть-Кутский муниципальный район,Усть-Кутское
3.0,с,село,,2.0,Лена,Покровск,98644101001,Покровск,Хангаласский муниципальный район,,2.0,Лена,Пеледуй,98627157051,Пеледуй,Пеледуй,поселок Пеледуй,,,2.0,Лена,Ленск,Ленск,98627101001,Ленск,город Ленск,Ленский муниципальный район,,,2,21946,Чокурдах,Чокурдах,98606151051,,2,Лена,Змеиново,Змеиново,25620101141,Киренский муниципальный район,Киренское
4.0,мкр,микрорайон,,3.0,Лена,Намцы,98635425101,Намцы,Намский муниципальный район,,3.0,Лена,Ленск,98627101001,Ленск,Ленск,город Ленск,,,3.0,Лена,Кыллах,Кыллах,98641430101,Кыллах,Кыллахский наслег,Олекминский муниципальный район,,,3,24076,Депутатский,Депутатский,98656151051,,3,Лена,Визирный,Визирный,25620701912,Киренский муниципальный район,"Межселенные территории Киренского муниципального района, на территории которых расположены земли следующих населенных пунктов: с Улькан, с Красноярово, п Визирный"
5.0,пгт,поселок городского типа,,4.0,Лена,Олёкминск,98641101001,Олёкминск,Олекминский муниципальный район,,4.0,Лена,Нюя,98627430101,Нюя,Нюя,Нюйский наслег,,,4.0,Лена,Троицк,Троицк,98641470101,Троицк,Троицкий наслег,Олекминский муниципальный район,,,4,24125,Оленек,Оленек,98642437101,,4,Лена,Дарьино,Дарьина,25620419104,Киренский муниципальный район,Коршуновское
6.0,д,деревня,,5.0,Лена,Ленск,98627101001,Ленск,Ленский муниципальный район,,5.0,Лена,Мача,98641440101,Мача,Мача,Мачинский наслег,,,5.0,Лена,Солянка,Солянка,98641465101,Солянка,Солянский наслег,Олекминский муниципальный район,,,5,24343,Жиганск,Жиганск,98622410101,,5,Лена,Витим,Витим,98627153051,Ленский муниципальный район,поселок Витим
,,,,6.0,Лена,Витим,98627153051,Витим,Ленский муниципальный район,,6.0,Лена,Олекминск,98641101001,Олёкминск,Олёкминск,город Олекминск,,,6.0,Лена,Абага,Абага,98608405101,Абага,Абагинский наслег,Амгинский муниципальный район,,,6,24726,Мирный,Мирный,98631101001,,6,Лена,Пеледуй,Пеледуй,98627157051,Ленский муниципальный район,поселок Пеледуй
,,,,7.0,Лена,Сангар,98624151051,Сангар,Кобяйский муниципальный район,,7.0,Лена,Солянка,98641465101,Солянка,Солянка,Солянский наслег,,,7.0,Лена,Олёкминск,Олёкминск,98641101001,Олёкминск,город Олекминск,Олекминский муниципальный район,,,7,24641,Вилюйск,Вилюйск,98618101001,,7,Лена,Крестовский,Крестовский лесоучасток,98627157106,Ленский муниципальный район,поселок Пеледуй
,,,,8.0,Лена,Жиганск,98622410101,Жиганск,Жиганский национальный эвенкийский муниципальный район,,8.0,Лена,Саныяхтат,98641460101,Саныяхтах,Саныяхтах,Саныяхтахский наслег,,,8.0,Лена,Хоринцы,Хоринцы,98641485101,Хоринцы,Хоринский наслег,Олекминский муниципальный район,,,8,24266,Верхоянск,Верхоянск,98616103001,,8,Лена,с. Хамра,Хамра,98627449106,Ленский муниципальный район,Ярославский наслег
,,,,9.0,Алдан,Усть-Мая,98654151051,Усть-Мая,Усть-Майский муниципальный район,,9.0,Лена,Покровск,98644101001,Покровск,Покровск,город Покровск,,,9.0,Лена,Балаганнах,Балаганнах,98614402101,Балаганнах,Балаганнахский наслег,Верхневилюйский муниципальный район,,,9,24382,Усть-Мома,Хонуу,98633423101,,9,Лена,Ленск,Ленск,98627101001,Ленский муниципальный район,город Ленск
