№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
1,98701000001,Муниципальные образования Республики Саха (Якутия),Измененный н.п.,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,г,город,Якутск,98701000001,372801,1,62.3488888888889,129.968611111111,,Городское,682853,1.0,0.6420289473535755,,Ошибки (изменены вручную),,,,,Причина несовпадения с Координаты_ОКТМО
2,98701000001,Муниципальные образования Республики Саха (Якутия),"формула не работает, не РС(Я)",Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,мкр,микрорайон,Кангалассы,98701000001,0,2,62.3488888888889,129.968611111111,,Сельское,380733,2.0,0.3579710526464245,,Алданский,город Алдан,село,Большой Нимныр,98603101111.0,старый ОКТМО
3,98701000106,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Маган,98701000106,2129,2,62.1,129.533333333333,,,,,,,Верхневилюйский,Намский,село,Хомустах,98614445101.0,перепутали с Хомустахским Хомустахом
4,98701000111,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Старая Табага,98701000111,616,2,61.8197222222222,129.637777777778,,Ростат РС(Я),"на 1 января 2023 года составила 997,6 тыс. человек",,,,Верхневилюйский,Хомустахский,село,Хомустах,98614482101.0,есть Намский Хомустах
5,98701000116,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Табага,98701000116,2006,2,61.855,129.596388888889,,,"городской местности 670,3 тыс. человек",,,,Верхоянский,Борулахский,село,Томтор,98616414101.0,есть Дуглахский Томтор
6,98701000121,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Тулагино,98701000121,2205,2,62.255,129.878611111111,,,"в сельской местности - 327,3 тыс. человек",,,,Верхоянский,Эльгесский,село,Юрдюк-Кумах,98616470106.0,участок (упразднен)
7,98701000126,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Капитоновка,98701000126,418,2,62.3266666666667,129.941111111111,,,,,,,Вилюйский,Баппагайинский,село,Сортол,98618408111.0,участок (упразднен)
8,98701000131,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Кильдемцы,98701000131,291,2,62.28,129.81,,,,,,,Вилюйский,Тогусский,село,Сеят,98618449106.0,участок (упразднен)
9,98701000136,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Сырдах,98701000136,984,2,62.22,129.84,,Количество МР,36,,Разница с суммой по ОКТМО,,Мегино-Кангаласский,Мельжехсинский,село,Суола,98629429101.0,
10,98701000141,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Хатассы,98701000141,5470,2,61.9061111111111,129.636388888889,,Население,1013390,,50196,,Мегино-Кангаласский,Морукский,село,Суола,98629436101.0,
