№ п/п,"ЧС по характеру и виду источника возникновения, в соответствии с перечнем","Дата, субъект РФ, место, краткое описание чрезвычайной ситуации, причина возникновения ЧС",Уровень ЧС,Количество погибших,Количество пострадавших,Количество пострадавших (в том числе - детей),Количество спасенных,дата введения,район,Год,Тип ЧС
1,1.8. Аварии на коммунальных системах жизнеобеспечения ,"03.01.01г. в Алданском районе, г.Томмот, в результате выхода из строя двух сетевых насосов остановлена котельная  МУП ЖКХ,
слита вода из системы отопления из 20 жилых домов, 5 зданий соцкультбыта, 2000 м теплотрассы. Без тепла остались 180 человек,  из них 40 детей. 
",Муниципальный,,180,,,2001-01-03,Алданский муниципальный район,2001,Аварии в отопительный сезон
2,1.8. Аварии на коммунальных системах жизнеобеспечения ,"04.01.01г. в 23 час.00 мин.в  Усть - Янском районе, п.Казачье, остановлена котельная ПАКУ из-за течи котла, второй котел не смогли запустить (работают  котлы на нефти). Слита вода с 5 жилых домов и 14 частных домов, теплотрассы длиной 1,82 км., с контор ЖКП, здания администрации, конторы ГУП ""Дьааана.",Муниципальный,,,,,2001-01-04,Усть-Янский муниципальный район,2001,Аварии в отопительный сезон
3,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","10.01.01г. в 04 час. 21мин в Томпонском районе, п.Хандыга, по улице П.Алексеева,15,  произошел пожар в жилом доме. На месте пожара обнаружено 2 трупа: гр.Гороховой Л.А -1932 г.р. - пенсионерка и гр.Кучина А.В - 1972 г. р.- БОМР. Причина, виновник, ущерб пожара устанавливается . ",Локальный,2,,,,2001-01-10,Томпонский муниципальный район,2001,Техногенные пожары
4,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"15.01.01г. в Ленском районе, г.Ленск,   из-за сильной утечки воды на теплотрассе, остановлена подача тепла в жилые дома от котельной ""Чапаево"". В результате аварии слита вода с 46-ти жилых домов (из них 16 жил.д. и 30 част. д.). Проживает 670  чел, из них 180 дети. ",Федеральный,,670,180.0,,2001-01-15,Ленский муниципальный район,2001,Аварии в отопительный сезон
5,"1.2.4.                                              Пожары на транспортных средствах (в т.ч. железнодорожный,   водный,автомобильный, воздушный транспорт) ","22.01.01г. в 11 час.50 мин. в Аллайховском районе, п.Чокурдах  при заправке газоконденсатом емкости бензовоза произошло воспламенение топлива. В результате взрыва уничтожена автомашина УРАЛ-5557 Муниципального управления ЖКХ. Водитель не пострадал.
",Локальный,2,,,,2001-01-22,Аллаиховский муниципальный район,2001,"Дорожно-транспортные происшествия, на водном транспорте, АСР"
6,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","28.01.01г. в 03 час.30 мин. в Кобяйском районе, с.Кобяйск, произошел пожар в жилом доме. Здание деревянное двухэтажное огнем унеч-тожено полностью. На месте пожара обнаружено 3 трупа: гр.Сметаниной Р. Н. -  1973 г.р., гр.Сметанина К.- 1990 г.р. и гр.Сметанина С.- 1994 г.р.Причина, виновник, ущерб пожара  устанавливаются.",Локальный,3,,,,2001-01-28,Кобяйский муниципальный район,2001,Техногенные пожары
7,"1.2.1.                                              Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","02.02.01г. в 14 час. 20 мин. в Усть - Янском районе, п.Депутатский, произошел пожар в здании ДЭС ( 11 ДГ). Огнем уничтожен силовой кабель и все ДГ. Электрообеспечение поселка отсутствует. В результате пожара остановлена центральная котельная, обеспечивающая теплом 26 жил. домов и 33 объекта производственного соцкульбыта. Без тепла остались 3 698 чел. (из них 1 208 детей). Пострадавшие были  эвакуированы в соседние населённые пункты и в г. Якутск. Причина НППБ при  выполнении свар. работ.
",Федеральный,,3698,1208.0,,2001-02-02,Усть-Янский муниципальный район,2001,Техногенные пожары
8,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"03.02.01г.  в 02 час. 22 мин. в Ленском районе, г.Ленск, в котельной ""Школьная"" на котле КСВД произошел разрыв передней водяной камеры и выброс пароводяной смеси. Пострадало 4 человека, доставлены в больницу, из них двое скончались.",Локальный,2,4,,,2001-02-03,Ленский муниципальный район,2001,Аварии в отопительный сезон
9,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","04.02.01г. в 14 час.50 мин. в Алданском районе,  п.Ленинский, по улице Ленина,51, произошел пожар в жилом доме. В результате пожара погибли 3 человека: гр.Разумовская В. М. – 1941 г.р., Косых А. Ф.- 1940 г.р. и Разумовский Ю. В. – 1945 г. р. Причина пожара – неосторожность при курении. 
",Локальный,3,,,,2001-02-04,Алданский муниципальный район,2001,Аварии в отопительный сезон
10,"1.2.5.                                              Пожары в зданиях (сооружениях) жилого, административного, учебно - воспитательного, социального, культурно - досугового назначения, здравоохранения ","09.02.01г. в 12час.24 мин. в Мирнинском районе, мкр.Романовка,13, произошел пожар в частном доме. Погибло 3 человека.",Локальный,3,,,,2001-02-09,Мирнинский муниципальный район,2001,Техногенные пожары
11,1.8.                                              Аварии на коммунальных системах жизнеобеспечения ,"15.02.01г. в 15час. 15мин. в Верхоянском районе, с.Сайды произошла авария в  ДЭС. В результате аварии вода слита с теплотрасс с 57 жилых домов, в которых проживает 435 человек.",Региональный,,435,,,2001-02-15,Верхоянский муниципальный район,2001,Аварии в отопительный сезон
12,"1.2.1. Пожары в зданиях,сооружениях, установках (в т.ч. магистральные газо -, нефте -, продуктопроводы) производственного назначения.","15.02.01г. в 00ч.30мин. в Таттинском районе, с.Ытык - Кель произошел пожар в центральной котельной.  В результате пожара пострадала правая часть здания.В результате пожара погиб гр.Попов В.Н. - 1956 г.р. - оператор. Без тепла остались 17  жилых дома (659 чел.), 7 производственных объектов. Пострадавшие расселены по родственникам и знакомым. ",Федеральный,1,659,,,2001-02-15,Таттинский муниципальный район,2001,Техногенные пожары
