Район,Наслег,ОКТМО,Бассейн рек,Населенный пункт,Год,Месяц,День,в % от нормы,Unnamed: 9,"Кол-во ошибок ""#н/д""",0
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2005,11,20,110-130,,"Кол-во ""не н.п."" в ОКТМО",0.0
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2005,11,20,110-130,,"Кол-во ""NULL""",8.0
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2005,11,20,110-130,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олёкминск,2005,11,20,90-110,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2005,11,20,>130,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2005,11,20,90-110,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2005,11,20,110-130,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2005,11,20,110-130,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2005,11,20,70-90,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2005,11,20,110-130,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2005,11,20,110-130,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2005,11,20,70-90,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2005,11,20,70-90,,,
Усть-Янский муниципальный район,Казачинский национальный наслег,98656405101,Яна,Казачье,2005,11,20,70-90,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2005,11,20,110-130,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2005,11,20,90-110,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2005,11,20,70-90,,,
