Район,Наслег,ОКТМО,Гидрометеорологический пост,Наименование реки,Геопозиция (широта),Геопозиция (долгота),Год,Месяц,День,"Толщина льда,см",Отклонение от нормы,Норма,Unnamed: 13,"Кол-во ошибок ОКТМО ""#н/д""",0,Unnamed: 16
Ленский муниципальный район,поселок Пеледуй,98627157051,Пеледуй,Лена,59.61511508,112.75662172,2000,2,28,105,22,83.0,,"Кол-во ""не н.п."" в ОКТМО",0.0,
Олекминский муниципальный район,Мачинский наслег,98641440101,Мача,Лена,59.9067205,117.58700121,2000,2,28,69,-20,89.0,,"Кол-во пустых ""Норма""",66.0,
Олекминский муниципальный район,город Олекминск,98641101001,Олекминск,Лена,60.36619014,120.43821085,2000,2,28,76,-20,96.0,,"Кол-во ошибок ""Отклонение"" ",66.0,"совпадает со столбцом нормы - не считает Отклонение, если Норма = NULL"
Хангаласский муниципальный район,город Покровск,98644101001,Покровск,Лена,61.47698603,129.14082039,2000,2,28,111,-4,115.0,,,,
Городской округ Город Якутск,город Якутск,98701000116,Табага,Лена,61.81498518,129.66129768,2000,2,28,116,-17,133.0,,,,
Городской округ Город Якутск,город Якутск,98701000001,Якутск,Лена,62.070852,129.81253136,2000,2,28,108,-5,113.0,,,,
Городской округ Город Якутск,город Якутск,98701000001,Кангалассы,Лена,62.36529597,130.02281654,2000,2,28,105,-2,107.0,,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Сангары,Лена,63.92658251,127.46566284,2000,2,28,154,-5,159.0,,,,
Алданский муниципальный район,город Томмот,98603105001,Томмот,Алдан,58.97859165,126.26437653,2000,2,28,145,-4,149.0,,,,
Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,Чаран,Алдан,60.36592754,134.45725906,2000,2,28,88,6,82.0,,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,Охотский Перевоз,Алдан,61.87832364,135.52370537,2000,2,28,71,-1,72.0,,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,60.89936631,132.01838005,2000,2,28,70,-22,92.0,,,,
Таттинский муниципальный район,Средне-Амгинский наслег,98604440101,Терють,Амга,62.20016481,134.25495613,2000,2,28,114,14,100.0,,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Нюрба,Вилюй,63.28064766,118.36700905,2000,2,28,74,-16,90.0,,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюйск,Вилюй,63.75864148,121.61415566,2000,2,28,108,33,75.0,,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Верхоянск,Яна,67.53810232,133.37682236,2000,2,28,118,34,84.0,,,,
Верхоянский муниципальный район,поселок Батагай,98616151111,У-Чаркы,Адыча,66.79338267,136.67980183,2000,2,28,147,0,147.0,,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Усть-Нера,Индигирка,64.57243583,143.22773922,2000,2,28,142,-6,148.0,,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Среднеколымск,Колыма,67.45682409,153.71599186,2000,2,28,90,-3,93.0,,,,
Ленский муниципальный район,поселок Пеледуй,98627157051,Пеледуй,Лена,59.61511508,112.75662172,2000,3,10,106,20,86.0,,,,
Олекминский муниципальный район,Мачинский наслег,98641440101,Мача,Лена,59.9067205,117.58700121,2000,3,10,68,-23,91.0,,,,
Олекминский муниципальный район,город Олекминск,98641101001,Олекминск,Лена,60.36619014,120.43821085,2000,3,10,80,-3,83.0,,,,
Хангаласский муниципальный район,город Покровск,98644101001,Покровск,Лена,61.47698603,129.14082039,2000,3,10,115,-8,123.0,,,,
Городской округ Город Якутск,город Якутск,98701000116,Табага,Лена,61.81498518,129.66129768,2000,3,10,123,-16,139.0,,,,
Городской округ Город Якутск,город Якутск,98701000001,Якутск,Лена,62.070852,129.81253136,2000,3,10,113,-5,118.0,,,,
Городской округ Город Якутск,город Якутск,98701000001,Кангалассы,Лена,62.36529597,130.02281654,2000,3,10,107,-1,108.0,,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Сангары,Лена,63.92658251,127.46566284,2000,3,10,150,-13,163.0,,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Жиганск,Лена,66.7708406,123.38145245,2000,3,10,153,-3,156.0,,,,
Алданский муниципальный район,город Томмот,98603105001,Томмот,Алдан,58.97859165,126.26437653,2000,3,10,89,9,80.0,,,,
Усть-Майский муниципальный район,Петропавловский национальный наслег,98654420101,Чаран ,Алдан,60.36592754,134.45725906,2000,3,10,73,-4,77.0,,,,
Томпонский муниципальный район,Охот-Перевозовский наслег,98650425101,Ох.Перевоз,Алдан,61.87832364,135.52370537,2000,3,10,72,-21,93.0,,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,60.89936631,132.01838005,2000,3,10,116,20,96.0,,,,
Таттинский муниципальный район,Средне-Амгинский наслег,98604440101,Терють,Амга,62.20016481,134.25495613,2000,3,10,110,26,84.0,,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Сунтар,Вилюй,62.15670044,117.66212452,2000,3,10,76,-15,91.0,,,,
